day,campaign_network,adgroup_network,creative_network,cost,network_impressions,network_clicks,installs,iniciou cadastro_events,registro completo sms_events,usuário tem benefício inss_events,usuário é servidor govba_events,usuário é servidor govsp_events,usuário é servidor prefsp_events,usuário é servidor govmt_events,usuário é lead_events,aceitar oferta_events,proposta paga_events,primeira compra_events,primeira compra govba_events,primeira compra govsp_events,primeira compra govmt_events,primeira compra prefsp_events,primeira compra inss_events,recompra_events,all_revenue
2023-08-11,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"15,45",960,10,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,"273,0"
2023-08-10,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_390k_1_br_25-65_auto_lead,story_vid_cn_video-adri_15-bancos_v2_app_usar-app_original_s-leg,"15,39",411,14,9,15,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"15,33",644,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"15,32",2544,34,22,21,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"15,24",872,11,4,5,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lista_base-govsp-higienizada-tomadores_152k_0_br_18-65_auto_servsp,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"14,88",662,8,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,inss_geral_fb_app_conversao_hot_and,engajamento_envolvimento-pageview_190k_0_br_21-65_auto_lead,institucional_carrossel_cb_margem-tomada_margem-tomada_v1_app_peca-cb_0_0,"14,74",428,14,3,5,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,inss_geral_fb_app_conversao_cold_and,lal_beneficiarios-inss_1k_1_br_45-65_auto_lead,story_vid_cn_video-adri_15-bancos_v2_app_usar-app_original_s-leg,"14,68",339,9,8,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,prefsp_geral_fb_app_conversao_cold_and,lal_servidores-prefsp_40k_1_sp_22-64_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"14,68",876,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lal_serv-govsp_4k_1_sp_22-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"14,63",804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_hot_and,engajamento_envolvimento-pageview_33k_0_sp_21-64_auto_lead,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"14,61",649,8,3,3,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,"0,0"
